name,url
Products,https://www.shl.com/products/
Occupational Personality Questionnaire (OPQ),https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/
Job-Focused Assessments (JFA),https://www.shl.com/products/assessments/job-focused-assessments/
Motivational Questionnaire (MQ),https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/
Situational Judgment Tests (SJT),https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/
SHL Verify,https://www.shl.com/products/assessments/cognitive-assessments/
SHL 360,https://www.shl.com/products/360/
Assessments,https://www.shl.com/products/assessments/
Behavioral Assessments,https://www.shl.com/products/assessments/behavioral-assessments/
Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/
Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/
Video Interviews,https://www.shl.com/products/video-interviews/
Skills & Simulations,https://www.shl.com/products/assessments/skills-and-simulations/
Call Center Simulations,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/
Business Skills,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/
Coding Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/
Technical Skills,https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/
Language Evaluation,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/
View all SHL ProductsGet the ultimate view of potential with SHL’s unmatched portfolio of assessments and interview technology.,https://www.shl.com/products/
Outsourced Assessments (VADC),https://www.shl.com/products/assessments/assessment-and-development-centers/
View Product Catalog,https://www.shl.com/products/product-catalog/
Claims/Operations Supervisor Solution,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/
Contact Center Customer Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/
Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/
Contact Center Manager - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form/
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/
Contact Center Sales & Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form/
Contact Centre Agent Solution - UK,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/
Customer Service - Short Form - UK,https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk/
Customer Service with Sales - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/
Director - Short Form,https://www.shl.com/products/product-catalog/view/director-short-form/
Previous,https://www.shl.com/products/product-catalog/?start=0&type=2
1,https://www.shl.com/products/product-catalog/?start=0&type=2
3,https://www.shl.com/products/product-catalog/?start=24&type=2
12,https://www.shl.com/products/product-catalog/?start=132&type=2
Next,https://www.shl.com/products/product-catalog/?start=24&type=2
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/
Previous,https://www.shl.com/products/product-catalog/?start=0&type=1
1,https://www.shl.com/products/product-catalog/?start=0&type=1
3,https://www.shl.com/products/product-catalog/?start=24&type=1
32,https://www.shl.com/products/product-catalog/?start=372&type=1
Next,https://www.shl.com/products/product-catalog/?start=24&type=1
Product Catalog,https://www.shl.com/products/product-catalog/
District/Regional Manager Solution,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/
Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/
Previous,https://www.shl.com/products/product-catalog/?start=12&type=2
2,https://www.shl.com/products/product-catalog/?start=12&type=2
4,https://www.shl.com/products/product-catalog/?start=36&type=2
Next,https://www.shl.com/products/product-catalog/?start=36&type=2
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/
Previous,https://www.shl.com/products/product-catalog/?start=12&type=1
2,https://www.shl.com/products/product-catalog/?start=12&type=1
4,https://www.shl.com/products/product-catalog/?start=36&type=1
Next,https://www.shl.com/products/product-catalog/?start=36&type=1
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/
Previous,https://www.shl.com/products/product-catalog/?start=24&type=2
5,https://www.shl.com/products/product-catalog/?start=48&type=2
Next,https://www.shl.com/products/product-catalog/?start=48&type=2
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/
